Wall time,Step,Value
1650457641.7376323,24367488,12.0
1650457641.8105862,24367936,254.0
1650457642.4245977,24370624,42.0
1650457642.5560706,24371264,28.0
1650457642.6484964,24371712,38.0
1650457643.3934326,24374528,53.0
1650457643.504486,24374720,18.0
1650457643.6482792,24375360,38.0
1650457643.7469997,24375936,89.0
1650457647.7625034,24380608,33.0
1650457648.0536225,24381568,24.0
1650457648.099763,24381888,78.0
1650457648.249523,24382528,25.0
1650457648.8798766,24385024,61.0
1650457649.2562654,24386816,22.0
1650457649.3243766,24387008,21.0
1650457649.5446823,24387968,104.0
1650457649.7680926,24388736,67.0
1650457650.3323815,24390912,48.0
1650457650.7316308,24392896,52.0
1650457650.899586,24393600,56.0
1650457654.6218662,24396928,18.0
1650457654.6653173,24397120,114.0
1650457654.6856744,24397248,47.0
1650457655.1045735,24399040,82.0
1650457655.2836316,24400192,57.0
1650457656.2328353,24403840,68.0
1650457656.6692598,24405952,18.0
1650457657.0025659,24407616,113.0
1650457657.2460158,24408576,58.0
1650457657.640301,24409792,26.0
1650457663.4077873,24421760,45.0
1650457663.5485928,24422528,82.0
1650457663.6051502,24422784,40.0
1650457663.825332,24423744,58.0
1650457663.839543,24423808,19.0
1650457663.936515,24424128,43.0
1650457664.2418792,24425600,20.0
1650457664.3086703,24425856,64.0
1650457664.3399584,24425920,40.0
1650457664.9363146,24428224,18.0
1650457668.5213864,24430144,40.0
1650457668.5440607,24430208,50.0
1650457669.1825976,24432960,67.0
1650457669.4535217,24433920,15.0
1650457670.0008981,24436096,10.0
1650457670.5640516,24438400,155.0
1650457670.727868,24439232,32.0
1650457671.7624404,24443520,50.0
1650457671.9141102,24444160,24.0
1650457675.6373749,24447168,107.0
1650457675.826092,24447872,129.0
1650457676.247855,24449728,50.0
1650457676.2621524,24449792,30.0
1650457676.3121977,24449984,127.0
1650457677.1290624,24453376,47.0
1650457677.1796024,24453568,13.0
1650457677.310242,24454144,130.0
1650457677.338169,24454272,49.0
1650457677.8170598,24456448,211.0
1650457677.8313813,24456512,23.0
1650457677.9347782,24457024,52.0
1650457677.949073,24457088,28.0
1650457678.0403428,24457536,51.0
1650457678.0624719,24457600,60.0
1650457678.5517638,24459648,14.0
1650457678.6245093,24459904,21.0
1650457678.8525972,24460800,78.0
1650457682.1369941,24462336,39.0
1650457682.6090267,24464064,39.0
1650457682.656643,24464320,47.0
1650457683.1310453,24466304,42.0
1650457683.4720585,24467648,22.0
1650457683.5011883,24467776,50.0
1650457683.5262625,24467968,215.0
1650457683.7629187,24469120,40.0
1650457683.8136523,24469312,189.0
1650457683.9678066,24470016,47.0
1650457684.0882435,24470720,51.0
1650457684.3801713,24472064,56.0
1650457684.59004,24472960,20.0
1650457684.8877742,24474304,68.0
1650457684.9123185,24474496,23.0
1650457685.0407734,24474944,32.0
1650457685.0757391,24475136,23.0
1650457685.1227129,24475328,56.0
1650457685.207278,24475712,73.0
1650457685.4192157,24476736,171.0
1650457685.5689492,24477376,11.0
1650457688.662574,24478080,21.0
1650457688.9105167,24479360,241.0
1650457688.95505,24479552,56.0
1650457689.032427,24479808,48.0
1650457689.279271,24480832,34.0
1650457689.309736,24480960,23.0
1650457689.5664597,24481984,23.0
1650457689.5867796,24482112,31.0
1650457689.9910545,24484032,47.0
1650457690.2075295,24485184,70.0
1650457690.2221963,24485248,7.0
1650457691.5226007,24490816,55.0
1650457691.6782894,24491712,27.0
1650457691.8534753,24492288,73.0
