id,length,success,spl
4000000,149.34,0.99,0.1833954627435851
4100000,148.21,0.99,0.19864553978860552
4200000,127.32,1.0,0.2032210647329382
4300000,141.83,0.99,0.16872108345007247
4400000,139.58,0.99,0.18659812441381207
4500000,143.62,0.99,0.20665728596825933
4600000,140.6,0.99,0.19609276795716557
4700000,123.04,1.0,0.2028218033455932
4800000,135.78,1.0,0.18687416796522208
4900000,115.57,1.0,0.20549337657322383
500000,573.51,0.66,0.04595096429115207
5000000,128.41,0.99,0.20766854877902943
5100000,130.61,1.0,0.21290732528050477
5200000,131.26,1.0,0.23135065573892935
5300000,138.57,0.99,0.18167378152189884
5400000,135.98,1.0,0.2083998451349588
5500000,148.28,0.99,0.18888916775079984
5600000,151.0,0.97,0.21886714874964938
5700000,127.52,0.99,0.2154460711779439
5800000,127.57,1.0,0.199146200329886
5900000,127.03,0.99,0.26080853199284365
600000,445.33,0.83,0.06436335349482471
6000000,112.88,0.99,0.23399188248476374
6100000,125.46,1.0,0.21710800766500474
6200000,131.26,1.0,0.21945058796663308
6300000,147.22,0.99,0.1925030550754096
6400000,116.31,1.0,0.22788352252263583
6500000,105.18,1.0,0.22767833389917388
6600000,110.78,1.0,0.21802643488010978
6700000,120.59,0.99,0.1957774747848174
6800000,121.92,0.99,0.19636470787440646
6900000,109.98,1.0,0.23291753168663162
700000,428.58,0.85,0.08294650916546793
7000000,125.99,0.99,0.21341282461991148
7100000,94.54,0.99,0.2534992029292311
7200000,109.07,1.0,0.22878652198442545
7300000,118.15,0.99,0.20915014070366175
7400000,110.82,0.99,0.2383910874116879
7500000,96.84,1.0,0.2573775766823567
7600000,116.93,1.0,0.2574656293642671
7700000,102.44,1.0,0.22987627349223788
7800000,123.26,0.99,0.2251247505690922
7900000,92.37,1.0,0.26819517037426743
800000,509.52,0.8,0.05416080658292419
8000000,99.83,1.0,0.23755103108637543
8100000,101.22,1.0,0.22900634363892486
8200000,91.74,1.0,0.2659570482444449
8300000,91.67,1.0,0.24611654454673004
8400000,95.96,1.0,0.21811473702925363
8500000,101.11,1.0,0.22052274775305325
8600000,103.49,1.0,0.20795345040827504
8700000,105.01,1.0,0.21320221228925412
8800000,102.24,1.0,0.23634560277507347
8900000,123.96,1.0,0.1983134767484844
900000,357.0,0.9,0.07925765942782964
9000000,101.01,1.0,0.2719130147392066
9100000,107.14,1.0,0.22079773665831925
9200000,106.42,1.0,0.2174260782975443
9300000,116.39,0.99,0.24160246496559692
9400000,108.61,1.0,0.22082612955195266
9500000,98.42,0.99,0.2331674065339131
9600000,112.12,1.0,0.21457965348793123
9700000,101.21,1.0,0.23942896590396445
9800000,114.63,1.0,0.21056303889104683
9900000,121.02,0.99,0.2129877991322605
