model,length,success,spl
23300000,163.4217880794702,0.9713907284768212,0.19457189477281236
23400000,163.21480263157895,0.9715789473684211,0.19471497312453695
23500000,162.93614379084968,0.971764705882353,0.19496704691071134
23600000,162.6414935064935,0.9719480519480519,0.19515968706016587
23700000,162.37529032258064,0.9721290322580645,0.19519623544793877
23800000,162.10064102564104,0.9723076923076923,0.19541326744188234
23900000,161.78312101910828,0.9724840764331211,0.19557141070577094
24000000,162.74622641509433,0.9720754716981133,0.19501017679005883
24100000,162.413125,0.97225,0.19516286277512082
24200000,162.15782608695653,0.9724223602484472,0.19510213984444352
24300000,161.98444444444445,0.9725925925925926,0.1951280923814265
24400000,161.6876073619632,0.972760736196319,0.19532656282766536
24500000,161.3380487804878,0.9729268292682927,0.19555701300588113
24600000,161.11672727272727,0.973030303030303,0.1957484526246506
24700000,160.86572289156626,0.9731927710843373,0.19594045322415451
24800000,160.62664670658683,0.9733532934131737,0.19603485134998963
24900000,160.47267857142856,0.973452380952381,0.19613768497028639
